name,high,ts,hour
bynd,140.777298,12/1/2020 9:30,9
bynd,137.3549957,12/1/2020 10:10,10
bynd,138.0899963,12/1/2020 11:38,11
bynd,138.5800018,12/1/2020 12:24,12
bynd,138.8000031,12/1/2020 13:21,13
bynd,138.6000061,12/1/2020 14:02,14
bynd,137.7716064,12/1/2020 15:29,15
ddog,98.80000305,12/1/2020 9:30,9
ddog,98.80000305,12/1/2020 9:30,9
ddog,98.80000305,12/1/2020 9:30,9
ddog,96.66470337,12/1/2020 10:19,10
ddog,95.76999664,12/1/2020 11:27,11
ddog,95.54000092,12/1/2020 12:10,12
ddog,95.48000336,12/1/2020 13:45,13
ddog,95.29000092,12/1/2020 14:27,14
ddog,95.88999939,12/1/2020 15:55,15
fb,284.2399902,12/1/2020 9:54,9
fb,286,12/1/2020 10:25,10
fb,288.8599854,12/1/2020 11:51,11
fb,289.0570984,12/1/2020 12:36,12
fb,288.9599915,12/1/2020 13:52,13
fb,288.6499939,12/1/2020 14:14,14
fb,286.7200012,12/1/2020 15:44,15
nflx,505.1900024,12/1/2020 9:47,9
nflx,507.4200134,12/1/2020 10:19,10
nflx,503.831604,12/1/2020 11:14,11
nflx,506.0599976,12/1/2020 12:29,12
nflx,508.9500122,12/1/2020 13:25,13
nflx,508.9500122,12/1/2020 13:25,13
nflx,507.3900146,12/1/2020 14:09,14
nflx,507.3900146,12/1/2020 14:09,14
nflx,504.9400024,12/1/2020 15:55,15
okta,244.2700043,12/1/2020 9:30,9
okta,244.2700043,12/1/2020 9:30,9
okta,237.7700043,12/1/2020 10:59,10
okta,239.5,12/1/2020 11:17,11
okta,238.7698975,12/1/2020 12:12,12
okta,239.9600067,12/1/2020 13:50,13
okta,238.5800018,12/1/2020 14:19,14
okta,238.5800018,12/1/2020 14:19,14
okta,237.3849945,12/1/2020 15:47,15
pins,70.31999969,12/1/2020 9:35,9
pins,68.69999695,12/1/2020 10:58,10
pins,69.16000366,12/1/2020 11:41,11
pins,69.05999756,12/1/2020 12:12,12
pins,69.22000122,12/1/2020 13:52,13
pins,68.80000305,12/1/2020 14:11,14
pins,67.98999786,12/1/2020 15:29,15
shop,1082,12/1/2020 9:53,9
shop,1082,12/1/2020 9:53,9
shop,1085,12/1/2020 10:02,10
shop,1077.390015,12/1/2020 11:35,11
shop,1070.01001,12/1/2020 12:26,12
shop,1070.01001,12/1/2020 12:26,12
shop,1081.426025,12/1/2020 13:50,13
shop,1074,12/1/2020 14:07,14
shop,1074,12/1/2020 14:08,14
shop,1070.380005,12/1/2020 15:55,15
snap,44.27970123,12/1/2020 10:16,10
snap,44.99000168,12/1/2020 11:14,11
snap,44.83000183,12/1/2020 12:27,12
snap,44.95000076,12/1/2020 13:40,13
snap,44.94480133,12/1/2020 14:02,14
snap,44.74499893,12/1/2020 15:56,15
sq,211.7550049,12/1/2020 9:30,9
sq,208.8300018,12/1/2020 10:08,10
sq,207.3200073,12/1/2020 11:01,11
sq,206.9100037,12/1/2020 12:26,12
sq,206.9100037,12/1/2020 12:26,12
sq,207.9199982,12/1/2020 13:54,13
sq,207.3901978,12/1/2020 14:02,14
sq,203.9450073,12/1/2020 15:53,15
ttd,905,12/1/2020 9:30,9
ttd,905,12/1/2020 9:30,9
ttd,905,12/1/2020 9:30,9
ttd,905,12/1/2020 9:30,9
ttd,895.2800293,12/1/2020 10:01,10
ttd,885.7399902,12/1/2020 11:17,11
ttd,881.7600098,12/1/2020 12:19,12
ttd,886.2340698,12/1/2020 13:33,13
ttd,887,12/1/2020 14:42,14
ttd,891.5200195,12/1/2020 15:58,15
ttd,891.5200195,12/1/2020 15:58,15
